Tweet ID,Username,Text,Number of Retweets,Number of Likes
1067572507455172608,MoSimms1,"b'RT @DVNCallihan: Dana Holgorsen\xe2\x80\x99s 1st 4 years at #WVU\n\n28-23 (.549)\n\nHolgorsen\xe2\x80\x99s last 4 years at #WVU\n\n33-17 (.660)\n\nBe patient, program is\xe2\x80\xa6'",66,0
1067572378270601217,FeleciaPerea,b'RT @UClubSunnyside: Stop by the office and take a tour by November 30th to be entered to win a $500 gift card!! #Studenthousing #Giveaway #\xe2\x80\xa6',1,0
1067571899482427394,BamaT61,b'RT @RivalsFriedman: New #CFBPlayoff Rankings\n7. #Michigan\n8. #UCF\n9. #UF\n10. #LSU\n11. #UDub\n12. #PSU\n13. #Wazzu\n14. #Texas\n15. #UK\n16. #WVU\xe2\x80\xa6',6,0
1067571671505211392,Agreste_24,"b'RT @DVNCallihan: Dana Holgorsen\xe2\x80\x99s 1st 4 years at #WVU\n\n28-23 (.549)\n\nHolgorsen\xe2\x80\x99s last 4 years at #WVU\n\n33-17 (.660)\n\nBe patient, program is\xe2\x80\xa6'",66,0
1067571649065730048,priceisright53,b'Sugar Bowl is still alive. Roll Tide and Boomer Sooner this weekend #WVU',0,0
1067571388091899904,RealMrBroce,b'RT @rivalskeenan: #WVU comes in at No. 16 in the College Football Playoff Poll.',1,0
1067571110399668226,gesnow12,"b'RT @DubVNation: Rumors are out there, but don\xe2\x80\x99t believe them. Holgorsen will continue to build #WVU football https://t.co/isJRlZEoRk'",13,0
1067571074097913856,WVSportsDotCom,b'#WVU falls three spots to No. 16 in the College Football Playoff rankings. https://t.co/flqMEtd2Y5',1,7
1067570972839030785,SomaliCanjeero,b'RT @RivalsFriedman: New #CFBPlayoff Rankings\n7. #Michigan\n8. #UCF\n9. #UF\n10. #LSU\n11. #UDub\n12. #PSU\n13. #Wazzu\n14. #Texas\n15. #UK\n16. #WVU\xe2\x80\xa6',6,0
1067570908062203905,AHAthleticsWV,"b""#WVUFootball shows up ranked 16th in this Week's College Football Top 25 Rankings. #WVU""",1,0
1067570844170371072,bborovetz28,b'RT @RivalsFriedman: New #CFBPlayoff Rankings\n7. #Michigan\n8. #UCF\n9. #UF\n10. #LSU\n11. #UDub\n12. #PSU\n13. #Wazzu\n14. #Texas\n15. #UK\n16. #WVU\xe2\x80\xa6',6,0
1067570802286096389,SEANnotredame11,b'RT @RivalsFriedman: New #CFBPlayoff Rankings\n7. #Michigan\n8. #UCF\n9. #UF\n10. #LSU\n11. #UDub\n12. #PSU\n13. #Wazzu\n14. #Texas\n15. #UK\n16. #WVU\xe2\x80\xa6',6,0
1067570764965138433,RivalsFriedman,b'New #CFBPlayoff Rankings\n7. #Michigan\n8. #UCF\n9. #UF\n10. #LSU\n11. #UDub\n12. #PSU\n13. #Wazzu\n14. #Texas\n15. #UK\n16.\xe2\x80\xa6 https://t.co/6eFYpdU6vj',6,10
1067570460337078272,rivalskeenan,b'#WVU comes in at No. 16 in the College Football Playoff Poll.',1,16
1067570416540098560,PatrickKotnik,b'#WVU drops from No. 13 to No. 16 in the latest #CFBPlayoff rankings.',1,3
1067570340195459072,RealMrBroce,"b'RT @bigjax3211: Just back from #WVU interviews. Beetle Bolden and Wes Harris will play against Rider on Wednesday, according to Bob Huggins\xe2\x80\xa6'",2,0
1067570129733648384,RealMrBroce,b'RT @TheDASports: Jordan McCabe talks about #WVU limiting turnovers the last two games https://t.co/2o7d66L2vQ',0,0
1067569916642017281,CWQuickWQ,b'RT @rivalskeenan: Freshman point guard Jordan McCabe out here getting up shots for #WVU before practice. https://t.co/Rac6BmSGji',13,0
1067569766368464897,JMB_Italia13,"b'RT @DVNCallihan: Dana Holgorsen\xe2\x80\x99s 1st 4 years at #WVU\n\n28-23 (.549)\n\nHolgorsen\xe2\x80\x99s last 4 years at #WVU\n\n33-17 (.660)\n\nBe patient, program is\xe2\x80\xa6'",66,0
1067569603101032449,PatrickKotnik,b'RT @WVSportsDotCom: #WVU offers a Florida athlete. Get the details and highlights.   https://t.co/tTnzh1vkcy ($)',1,0
1067569417637253120,WVSportsDotCom,b'#WVU offers a Florida athlete. Get the details and highlights.   https://t.co/tTnzh1vkcy ($)',1,2
1067569261827317760,67_mountaineer,"b'RT @bhertzel: Two decades ago today, Marc Bulger and Mountaineers laid an avalanche of points on Backyard Brawlrival Pitt. #wvu #BGN https:\xe2\x80\xa6'",5,0
1067568757520793602,EerSportsDotCom,b'Senior highlights of #WVU commit Winston Wright will definitely leave you impressed.... https://t.co/GH4pNhkart',0,2
1067568739732869120,meadoz,b'@weekley You want OU to win because that hopefully puts them in playoff and Texas in NY6 which means more loot spli\xe2\x80\xa6 https://t.co/gHOCp7sx02',0,0
